fecha,sitio,ciano,B1,B2,B3,B4,B5,B6,B7
2023-05-22,SAT4,6,0,0.00220749992877244,0.01524250023066997,0.00812000036239624,0.01271250005811452,0.0046824999153614,0.00297749997116625
2023-05-22,SAT3,1.7,4.7500000800937414e-4,0.00399499991908669,0.01419750042259693,0.0095225004479289,0.001657500048168,0.00226250011473894,0.00196000002324581
2023-05-22,CEN,0.9,0.00102500000502914,0.00426999991759657,0.01430749986320734,0.00944000016897916,0.00135499995667487,0.0021524999756366,0.00173999997787177
2023-05-22,ZA,1.4,0,0.00289499992504715,0.01274000015109777,0.00767999980598688,9.97500028461218e-4,0.00182250002399086,0.00193250004667788
2023-05-22,SAT1,7.8,0.00149249995592981,0.00495749991387128,0.01551750022917986,0.0105400001630187,0.00308750011026859,0.00209750002250075,0.00201499997638165
2023-08-02,SAT4,2.3,0.0046275001950562,0.01197000034153461,0.02517000027000904,0.02321749925613403,0.02145750075578689,0.02178750000894069,0.01857000030577182
2023-08-02,SAT3,3.16,0.00297749997116625,0.00996250007301569,0.02291500009596347,0.01999999955296516,0.01815750077366829,0.01768999919295311,0.01452749967575073
2023-08-02,CEN,5.766666666666667,0,0.00594750000163912,0.01449999958276748,0.01199750043451786,0.01081500016152858,0.01372999977320432,0.01185999996960163
2023-08-02,ZA,2.82,0.00209750002250075,0.00748750008642673,0.01903750002384185,0.01549000013619661,0.01307000033557415,0.01623249985277652,0.01384000014513731
2023-08-02,ZB,2.8333333333333335,0.0015750000020489,0.00682750018313527,0.01711249910295009,0.01417000032961368,0.01254750043153762,0.0149125000461936,0.01329000014811754
2023-08-02,SAT2,3.6142857142857143,0.00256499997340142,0.0080375000834465,0.01832249946892261,0.01472000032663345,0.01477499958127737,0.01568249985575676,0.01359250023961067
2023-08-02,SAT1,1.4333333333333331,0.00102500000502914,0.00682750018313527,0.01733249984681606,0.01362000033259391,0.01274000015109777,0.01625999994575977,0.01367499958723783
2023-11-06,SAT4,0.15,0.0247575007379055,0.03655499964952469,0.07230500131845474,0.06889499723911285,0.22592000663280487,0.19635750353336337,0.11622250080108644
2023-11-06,SAT3,5,0.00776250008493661,0.01339999958872795,0.02549999952316284,0.02002749964594841,0.01056750025600195,0.01001750025898218,0.00935749989002943
2023-11-06,ZA,1.88,0.00138250004965811,0.00767999980598688,0.01997249945998192,0.01455499976873397,0.00669000018388032,0.00822999980300664,0.00743249990046024
2023-11-06,ZB,0.7,0.01103499997407198,0.01964250020682811,0.03234750032424927,0.02717749960720539,0.0207700002938509,0.02107249945402145,0.01903750002384185
2023-11-06,CEN,1.96,0.01111750025302171,0.0203850008547306,0.03903000056743622,0.03528999909758568,0.02769999951124191,0.02934999950230121,0.02676500007510185
2023-11-06,SAT1,2.54,0.00534249981865286,0.01411500014364719,0.03322749957442283,0.02827749960124492,0.02219999954104423,0.02418000064790249,0.02222749963402748
