fecha,sitio,parametro,lat,lon,promedio
2023-11-06,ZB,cla_tot,-30.621966666666665,-63.544216666666664,9.64
2023-11-06,CEN,temp,-30.62475,-63.5293,20.4
2023-11-06,CEN,cla_ciano,-30.62475,-63.5293,1.96
2023-11-06,CEN,cla_tot,-30.62475,-63.5293,24.32
2023-11-06,SAT1,temp,-30.605833333333333,-63.51501666666667,21
2023-11-06,SAT1,secchi,-30.605833333333333,-63.51501666666667,0.7
2023-11-06,SAT1,cla_ciano,-30.605833333333333,-63.51501666666667,2.54
2023-11-06,SAT1,cla_tot,-30.605833333333333,-63.51501666666667,31.34
2025-02-20,GAR,temp,-30.62613292,-63.56130197,26
2025-02-20,GAR,turb,-30.62613292,-63.56130197,2.26
2025-02-20,GAR,secchi,-30.62613292,-63.56130197,1.65
2025-02-20,GAR,cla_ciano,-30.62613292,-63.56130197,23
2025-02-20,GAR,cla_tot,-30.62613292,-63.56130197,33.9
2025-02-20,ZB,temp,-30.623463,-63.54461965,28.2
2025-02-20,ZB,turb,-30.623463,-63.54461965,2.78
2025-02-20,ZB,secchi,-30.623463,-63.54461965,1.36
2025-02-20,ZB,cla_ciano,-30.623463,-63.54461965,40.9
2025-02-20,ZB,cla_tot,-30.623463,-63.54461965,50.6
2025-02-20,ZA,temp,-30.62923606,-63.543260020000005,26.9
2025-02-20,ZA,turb,-30.62923606,-63.543260020000005,5.27
2025-02-20,ZA,secchi,-30.62923606,-63.543260020000005,1.58
2025-02-20,ZA,cla_ciano,-30.62923606,-63.543260020000005,27.7
2025-02-20,ZA,cla_tot,-30.62923606,-63.543260020000005,36.9
2025-02-20,SAT4,temp,-30.65703837,-63.53315246,26.9
2025-02-20,SAT4,turb,-30.65703837,-63.53315246,7.09
2025-02-20,SAT4,secchi,-30.65703837,-63.53315246,1.16
2025-02-20,SAT4,cla_ciano,-30.65703837,-63.53315246,8.2
2025-02-20,SAT4,cla_tot,-30.65703837,-63.53315246,19.6
2025-02-20,SAT3,temp,-30.64262189,-63.52777673,27.2
2025-02-20,SAT3,turb,-30.64262189,-63.52777673,2.99
